"","ProfileOutput"
"Position","Intensity"
"m","Counts"
2.444582e-08,3.490646e+04
2.451430e-08,3.508083e+04
2.458277e-08,3.518030e+04
2.465125e-08,3.516801e+04
2.471973e-08,3.511488e+04
2.478820e-08,3.498838e+04
2.485668e-08,3.470964e+04
2.492515e-08,3.428981e+04
2.499363e-08,3.374096e+04
2.506210e-08,3.328777e+04
2.513058e-08,3.269213e+04
2.519906e-08,3.205434e+04
2.526753e-08,3.131769e+04
2.533601e-08,3.081435e+04
2.540448e-08,3.015790e+04
2.547296e-08,2.966167e+04
2.554143e-08,2.893418e+04
2.560991e-08,2.847818e+04
2.567839e-08,2.810416e+04
2.574686e-08,2.765676e+04
2.581534e-08,2.720592e+04
2.588381e-08,2.702630e+04
2.595229e-08,2.690914e+04
2.602076e-08,2.699428e+04
2.608924e-08,2.712219e+04
2.615772e-08,2.731219e+04
2.622619e-08,2.759780e+04
2.629467e-08,2.810896e+04
2.636314e-08,2.869784e+04
2.643162e-08,2.933085e+04
2.650009e-08,2.987989e+04
2.656857e-08,3.045037e+04
2.663705e-08,3.112196e+04
2.670552e-08,3.170076e+04
2.677400e-08,3.234714e+04
2.684247e-08,3.276471e+04
2.691095e-08,3.328569e+04
2.697942e-08,3.366467e+04
2.704790e-08,3.388787e+04
2.711638e-08,3.400490e+04
2.718485e-08,3.414432e+04
2.725333e-08,3.418343e+04
2.732180e-08,3.425430e+04
2.739028e-08,3.407174e+04
2.745875e-08,3.378117e+04
2.752723e-08,3.344364e+04
2.759571e-08,3.299880e+04
2.766418e-08,3.254664e+04
2.773266e-08,3.208452e+04
2.780113e-08,3.158068e+04
2.786961e-08,3.086284e+04
2.793808e-08,3.020768e+04
2.800656e-08,2.967543e+04
2.807503e-08,2.891389e+04
2.814351e-08,2.849229e+04
2.821199e-08,2.790409e+04
2.828046e-08,2.753611e+04
2.834894e-08,2.717742e+04
2.841741e-08,2.692263e+04
2.848589e-08,2.674527e+04
2.855436e-08,2.680752e+04
2.862284e-08,2.694699e+04
2.869132e-08,2.700827e+04
2.875979e-08,2.744027e+04
2.882827e-08,2.773878e+04
2.889674e-08,2.831119e+04
2.896522e-08,2.882327e+04
2.903369e-08,2.938654e+04
2.910217e-08,2.988403e+04
2.917065e-08,3.047146e+04
2.923912e-08,3.102185e+04
2.930760e-08,3.159339e+04
2.937607e-08,3.200395e+04
2.944455e-08,3.237709e+04
2.951302e-08,3.283911e+04
2.958150e-08,3.302374e+04
2.964998e-08,3.337738e+04
2.971845e-08,3.338821e+04
2.978693e-08,3.356252e+04
2.985540e-08,3.342704e+04
2.992388e-08,3.329609e+04
2.999235e-08,3.318730e+04
3.006083e-08,3.305357e+04
3.012931e-08,3.280079e+04
3.019778e-08,3.255651e+04
3.026626e-08,3.215013e+04
3.033473e-08,3.173416e+04
3.040321e-08,3.134411e+04
3.047168e-08,3.088448e+04
3.054016e-08,3.031512e+04
3.060864e-08,2.968567e+04
3.067711e-08,2.910740e+04
3.074559e-08,2.861770e+04
3.081406e-08,2.827210e+04
3.088254e-08,2.794096e+04
3.095101e-08,2.775219e+04
3.101949e-08,2.758424e+04
3.108797e-08,2.757604e+04
3.115644e-08,2.750986e+04
3.122492e-08,2.763581e+04
3.129339e-08,2.791713e+04
3.136187e-08,2.809960e+04
3.143034e-08,2.857221e+04
3.149882e-08,2.909168e+04
3.156730e-08,2.954998e+04
3.163577e-08,3.008283e+04
3.170425e-08,3.062724e+04
3.177272e-08,3.116015e+04
3.184120e-08,3.164821e+04
3.190967e-08,3.228486e+04
3.197815e-08,3.273026e+04
3.204663e-08,3.306427e+04
3.211510e-08,3.346137e+04
3.218358e-08,3.393693e+04
3.225205e-08,3.419621e+04
3.232053e-08,3.437650e+04
3.238900e-08,3.448575e+04
3.245748e-08,3.461247e+04
3.252596e-08,3.463762e+04
3.259443e-08,3.460561e+04
3.266291e-08,3.448959e+04
3.273138e-08,3.418114e+04
3.279986e-08,3.383581e+04
